,Breathing Rate
0,48.473362
1,48.49923
2,48.48824
3,48.499866
4,45.906208
5,45.913494
6,45.906883
7,45.933186
8,44.652344
9,44.674538
10,44.697662
11,44.72794
12,44.77266
13,44.813282
14,44.83256
15,37.84857
16,37.842236
17,37.893238
18,37.928078
19,37.961697
20,37.975185
21,37.98524
22,39.03971
23,45.051594
24,45.002605
25,46.2771
26,47.525818
27,47.508583
28,47.488457
29,48.72962
30,49.98202
31,49.904663
32,49.84544
33,49.761795
34,49.723118
35,49.64155
36,49.599583
37,49.54838
38,49.520744
39,49.50997
40,49.510162
41,49.528767
42,49.50831
43,49.52534
44,49.533108
45,49.554188
46,49.552998
47,49.55964
48,49.557915
49,49.556576
50,49.549976
51,49.550117
52,48.207024
53,48.208164
54,48.218033
55,45.572872
56,45.6046
57,44.307064
58,36.52259
59,34.742947
60,33.191902
61,28.491472
62,27.903831
63,25.487705
64,25.384516
65,25.015669
66,24.365652
67,24.36894
68,24.413847
69,23.848745
70,23.006376
71,22.494202
72,22.527798
73,23.041399
74,22.490414
75,21.968187
76,21.897186
77,22.34138
78,22.302483
79,22.826174
80,26.403723
81,27.834131
82,27.838242
83,30.590801
84,30.581415
85,30.545595
86,30.503307
87,27.771408
88,26.351606
89,26.276321
90,26.228233
91,23.068478
92,22.373133
93,22.007387
94,21.189087
95,21.120459
96,20.862017
97,20.840382
98,20.864597
99,20.244448
100,20.92958
101,20.301462
102,20.316727
103,20.11215
104,20.10356
105,19.709764
106,18.664467
107,18.29722
108,18.222845
109,18.470499
110,18.146412
111,18.12012
112,18.109167
113,17.950573
114,18.09331
115,17.953163
116,17.804762
117,17.80745
118,17.94781
119,17.956663
120,18.108713
121,20.188103
122,20.95834
123,20.976631
124,20.969927
125,20.955334
126,20.948748
127,21.459826
128,22.016779
129,22.018837
130,22.0103
131,23.59346
132,23.599909
133,23.588549
134,25.480825
135,26.357323
136,26.364529
137,29.441292
138,29.439896
139,28.305817
140,28.26397
141,28.232187
142,28.206076
143,26.263279
144,26.664694
145,28.128405
146,26.660881
147,28.11588
148,26.643589
149,25.331509
150,21.256756
151,21.110775
152,20.61553
153,20.596643
154,21.082287
155,21.10732
156,23.558027
157,23.620298
158,23.630629
159,23.651104
160,20.817549
161,20.761507
162,20.767258
163,23.019985
164,23.73605
165,25.63624
166,23.729034
167,23.665648
168,23.633617
169,22.948547
170,22.920757
171,20.75952
172,22.90979
173,20.763132
174,20.058119
175,20.000614
176,18.827852
177,18.751888
178,18.72119
179,18.534477
180,18.55084
181,18.549986
182,18.731405
183,18.747635
184,19.960306
185,20.702984
186,22.686064
187,22.741243
188,22.722424
189,22.70542
190,26.97197
191,26.968845
192,26.92865
193,26.893206
194,26.863333
195,26.822805
