,HeartRate
0,82.871994
1,84.31136
2,87.32009
3,88.5321
4,90.95263
5,85.85816
6,81.50464
7,80.35868
8,86.261055
9,83.60985
10,81.92811
11,78.10957
12,77.620445
13,79.07361
14,80.83002
15,84.15204
16,85.247894
17,91.394226
18,86.92643
19,84.01737
20,81.339424
21,81.248245
22,82.56997
23,87.967
24,87.59936
25,83.991035
26,80.68251
27,79.256966
28,79.24262
29,82.02599
30,80.71907
31,77.18948
32,78.646065
33,78.86658
34,76.06297
35,79.89606
36,81.89774
37,77.94267
38,78.05194
39,79.312126
40,77.69833
41,77.33927
42,76.8018
43,85.26467
44,85.23789
45,79.27293
46,81.785286
47,81.909874
48,81.972336
49,78.362144
50,77.51933
51,76.44714
52,74.54007
53,73.87277
54,72.80769
55,72.50538
56,70.9986
57,70.29276
58,69.68137
59,69.21375
60,71.77545
61,71.47364
62,75.37929
63,74.76718
64,73.87708
65,77.82691
66,79.26727
67,71.564445
68,74.1012
69,73.714775
70,75.054375
71,75.873146
72,75.898735
73,72.87987
74,79.89269
75,82.04859
76,74.268585
77,74.9799
78,76.41288
79,76.063446
80,74.46569
81,73.40081
82,74.76506
83,79.35812
84,77.23438
85,77.999626
86,78.290054
87,74.11309
88,73.54037
89,72.4185
90,76.25699
91,72.96629
92,75.09127
93,76.229095
94,73.56256
95,71.008675
96,72.005745
97,77.45423
98,71.95709
99,80.315254
100,80.311226
101,74.17636
102,76.17789
103,77.372055
104,75.166756
105,72.99232
106,76.19927
107,80.70053
108,75.05749
109,77.55417
110,82.36556
111,87.10377
112,80.90975
113,82.07969
114,84.501
115,83.5849
116,77.10834
117,84.823975
118,85.05164
119,80.65101
120,77.0058
121,77.28792
122,75.7738
123,73.922424
124,77.22302
125,81.58604
126,74.44824
127,73.766525
128,72.39884
129,71.217606
130,70.91892
131,69.708115
132,69.10049
133,68.30562
134,67.49
135,66.86687
136,68.07096
137,71.44451
138,73.33634
139,74.857956
140,82.26622
141,73.70691
142,73.143425
143,73.69192
144,75.37597
145,76.13394
146,76.16963
147,80.58224
148,78.9609
149,83.391464
150,83.746216
151,78.105095
152,82.67756
153,87.53393
154,87.58326
155,77.94831
156,90.42528
157,87.95317
158,80.25145
159,82.07325
160,83.73676
161,82.240524
162,81.69417
163,79.341995
164,80.35699
165,81.36675
166,85.005684
167,77.279434
168,87.054596
169,88.42781
170,88.30932
171,76.882324
172,80.12726
173,84.59018
174,84.44126
175,79.70382
176,78.81106
177,80.45173
178,78.1918
179,75.615005
180,81.03048
181,83.162964
182,84.47152
183,85.164856
184,80.354195
185,83.86914
186,85.14744
187,89.73423
188,88.58176
189,87.82671
190,88.02117
191,88.609795
192,89.65797
193,89.99712
194,86.01089
195,84.624596
196,84.182
197,85.50332
198,85.36084
199,80.51828
200,78.45214
